neuron_id,neuron_type,neuron_layer,neuron_type_broad,neuron_type_specific,segment_id,soma_segment_id_base_volume,soma_loc_x,soma_loc_y,soma_loc_z,soma_radius,CD
193,IN,DLIN,DLIN1,DLIN1_l,14216498,139771271,10476,10787,1616,4,2
619,IN,DLIN,DLIN1,DLIN1_l,154981745,154993791,16221,23287,1882,4.5,1
956,IN,DLIN,DLIN1,DLIN1_l,15153309,15153309,3066,13418,622,4.5,1
985,IN,DLIN,DLIN1,DLIN1_l,18980313,149326894,5837,18757,1671,4.5,2
1068,IN,DLIN,DLIN1,DLIN1_l,203376954,235856175,19102,19450,2708,4.5,2
1070,IN,DLIN,DLIN1,DLIN1_l,122116433,193317120,19253,19480,2549,4,2
1139,IN,DLIN,DLIN1,DLIN1_l,19027165,106367109,11772,18633,1579,4.5,2
1433,IN,DLIN,DLIN1,DLIN1_l,22411201,232940197,10719,17282,2606,4.5,1
1445,IN,DLIN,DLIN1,DLIN1_l,30281443,193071936,10596,17933,3493,5,2
1508,IN,DLIN,DLIN1,DLIN1_l,29389701,235856945,18862,19394,2854,4.5,1
1512,IN,DLIN,DLIN1,DLIN1_l,27024861,190412754,12352,17715,2098,5,2
1521,IN,DLIN,DLIN1,DLIN1_l,22294003,105920316,10992,18963,2063,5,2
2303,IN,DLIN,DLIN1,DLIN1_l,5669536,96670829,10024,10031,1636,5,1
2309,IN,DLIN,DLIN1,DLIN1_l,1569054,138694778,10948,9544,1925,4,2
2819,IN,DLIN,DLIN1,DLIN1_l,14004232,192017738,13716,17493,3252,4.5,2
2823,IN,DLIN,DLIN1,DLIN1_l,16568285,197065151,12541,18309,3246,4.5,2
2882,IN,DLIN,DLIN1,DLIN1_l,14437586,101881575,3714,14642,1497,4.5,2
3129,IN,DLIN,DLIN1,DLIN1_l,28383741,355111103,6941,12919,3804,5,3
3326,IN,DLIN,DLIN1,DLIN1_l,18816747,103345678,18508,15362,1476,4,3
3566,IN,DLIN,DLIN1,DLIN1_l,11617045,179524389,7073,8726,2580,4.5,2
3674,IN,DLIN,DLIN1,DLIN1_l,15022695,57046501,19419,12267,683,4,3
87,IN,DLIN,DLIN1,DLIN1_r,5925992,5926016,681,5635,486,5,3
787,IN,DLIN,DLIN1,DLIN1_r,16359280,60912101,2218,16099,838,5,1
865,IN,DLIN,DLIN1,DLIN1_r,22717287,186409327,2448,13926,2312,4,2
932,IN,DLIN,DLIN1,DLIN1_r,14275030,102233149,16951,14798,1344,4,1
1586,IN,DLIN,DLIN1,DLIN1_r,1325500,9332118,6867,9967,331,4.5,2
1602,IN,DLIN,DLIN1,DLIN1_r,7751400,9930990,9029,8987,538,5,2
1721,IN,DLIN,DLIN1,DLIN1_r,13724994,55102823,7040,10843,710,5,3
1805,IN,DLIN,DLIN1,DLIN1_r,6055417,132173470,9002,4409,1937,4.5,2
1883,IN,DLIN,DLIN1,DLIN1_r,8572027,175460283,16350,4914,2246,5,3
1893,IN,DLIN,DLIN1,DLIN1_r,3149758,92504386,15756,5472,1877,4.5,2
1919,IN,DLIN,DLIN1,DLIN1_r,19684999,175906167,11999,4750,2528,4.5,1
2216,IN,DLIN,DLIN1,DLIN1_r,14170258,178482866,1835,7636,2558,5.5,2
2317,IN,DLIN,DLIN1,DLIN1_r,12809659,179127119,8891,11561,2196,5,2
2673,IN,DLIN,DLIN1,DLIN1_r,12774539,225515995,14984,11062,2432,5.5,2
2727,IN,DLIN,DLIN1,DLIN1_r,14238340,185494711,9429,13413,2918,4.5,2
2740,IN,DLIN,DLIN1,DLIN1_r,11791449,187275934,15114,14425,2351,4.5,2
2785,IN,DLIN,DLIN1,DLIN1_r,15469681,185189874,17499,12575,2690,5,2
2829,IN,DLIN,DLIN1,DLIN1_r,20327975,229745353,12271,13429,3270,5,2
3212,IN,DLIN,DLIN1,DLIN1_r,15421437,272153681,6312,14802,2991,4.5,2
3213,IN,DLIN,DLIN1,DLIN1_r,16954672,146681710,5658,14971,3028,4,1
3608,IN,DLIN,DLIN1,DLIN1_r,12788508,173153747,10547,2487,2285,5,3
88,IN,DLIN,DLIN1,DLIN1_s,1628714,3245017,726,4295,371,5,3
246,IN,DLIN,DLIN1,DLIN1_s,4604671,8372288,12008,7375,211,4.5,1
635,IN,DLIN,DLIN1,DLIN1_s,15491082,62854515,14800,17534,653,4.5,3
789,IN,DLIN,DLIN1,DLIN1_s,19954603,62515938,2051,17416,790,5.5,3
1143,IN,DLIN,DLIN1,DLIN1_s,15502788,103650602,8940,16837,1710,5,2
1403,IN,DLIN,DLIN1,DLIN1_s,25164384,193692562,4150,17513,3575,5,3
1411,IN,DLIN,DLIN1,DLIN1_s,21264225,190917947,8797,20534,3588,5,3
1447,IN,DLIN,DLIN1,DLIN1_s,161504510,318603417,11391,17546,3635,5,3
2245,IN,DLIN,DLIN1,DLIN1_s,17832875,185905949,4212,13428,3328,5,2
2422,IN,DLIN,DLIN1,DLIN1_s,22189303,94377646,4644,10440,1391,5.5,3
2663,IN,DLIN,DLIN1,DLIN1_s,10622160,140451036,16100,11182,1820,4,2
2699,IN,DLIN,DLIN1,DLIN1_s,20656606,183375730,10143,11591,2171,5,2
2757,IN,DLIN,DLIN1,DLIN1_s,19671181,185098526,13729,12982,2766,4.5,2
2768,IN,DLIN,DLIN1,DLIN1_s,9624841,188962022,16244,15275,2796,4.5,2
2783,IN,DLIN,DLIN1,DLIN1_s,19776524,190976393,12353,17964,2279,5,3
2951,IN,DLIN,DLIN1,DLIN1_s,26968361,174546465,1952,4208,1990,4,2
3177,IN,DLIN,DLIN1,DLIN1_s,2423824,219393730,4585,7197,3743,5,3
3252,IN,DLIN,DLIN1,DLIN1_s,9952717,179560153,6100,8313,2915,5.5,2
3347,IN,DLIN,DLIN1,DLIN1_s,16579969,195354673,15167,21211,2376,5.5,2
55,IN,DLIN,DLIN2,DLIN2_c,728927,3408033,7142,3286,277,4.5,2
126,IN,DLIN,DLIN2,DLIN2_c,925676,47540649,6231,4731,931,5.5,2
186,IN,DLIN,DLIN2,DLIN2_c,2833741,3899337,5281,4721,280,5,3
187,IN,DLIN,DLIN2,DLIN2_c,4967143,5492809,4753,5205,305,4.5,3
195,IN,DLIN,DLIN2,DLIN2_c,7259603,137569853,9364,8788,1601,5,2
261,IN,DLIN,DLIN2,DLIN2_c,11521699,11533439,9119,10012,35,5,3
672,IN,DLIN,DLIN2,DLIN2_c,13512784,13512784,2309,12003,349,5.5,3
686,IN,DLIN,DLIN2,DLIN2_c,11147563,14660953,5032,12886,549,5.5,2
719,IN,DLIN,DLIN2,DLIN2_c,8221627,96658328,10273,9939,1117,5.5,2
818,IN,DLIN,DLIN2,DLIN2_c,16193686,141118041,591,11648,1965,4.5,3
908,IN,DLIN,DLIN2,DLIN2_c,15106144,18607658,11717,15857,594,5,2
1094,IN,DLIN,DLIN2,DLIN2_c,6570042,179487509,4546,11254,2546,5,2
1185,IN,DLIN,DLIN2,DLIN2_c,12741861,99797927,6566,12592,1276,5.5,2
1410,IN,DLIN,DLIN2,DLIN2_c,15022719,194196432,7962,20476,3502,4.5,1
1435,IN,DLIN,DLIN2,DLIN2_c,10549864,187239770,13542,17227,2799,5,1
1444,IN,DLIN,DLIN2,DLIN2_c,7588237,318063922,11493,17496,3399,5,2
1556,IN,DLIN,DLIN2,DLIN2_c,10680689,95887518,2685,13466,1634,5,1
1745,IN,DLIN,DLIN2,DLIN2_c,1533927,51087305,16934,6997,1164,4.5,2
1784,IN,DLIN,DLIN2,DLIN2_c,11218975,90255764,10283,5717,1434,5.5,3
1806,IN,DLIN,DLIN2,DLIN2_c,4496320,175249083,8306,4645,1986,5,3
1819,IN,DLIN,DLIN2,DLIN2_c,6055388,172005658,7701,1975,1994,4.5,2
1983,IN,DLIN,DLIN2,DLIN2_c,1815149,129385361,5290,1964,1575,5,3
2021,IN,DLIN,DLIN2,DLIN2_c,6323166,92292284,7387,6640,1482,5,2
2034,IN,DLIN,DLIN2,DLIN2_c,8255908,94445492,7190,9943,1828,5.5,2
2097,IN,DLIN,DLIN2,DLIN2_c,2881374,178891715,2852,4838,3155,5.5,2
2098,IN,DLIN,DLIN2,DLIN2_c,667532,261837499,3505,5923,2912,5.5,2
2162,IN,DLIN,DLIN2,DLIN2_c,17645582,264648326,7796,8558,2976,5.5,2
2195,IN,DLIN,DLIN2,DLIN2_c,7073321,182871819,4855,12456,2524,5,2
2205,IN,DLIN,DLIN2,DLIN2_c,13536970,176819034,5683,9161,3055,5.5,3
2239,IN,DLIN,DLIN2,DLIN2_c,4449455,174183392,8072,2951,2470,5,2
2281,IN,DLIN,DLIN2,DLIN2_c,5117505,49249596,9750,5706,1688,4.5,2
2319,IN,DLIN,DLIN2,DLIN2_c,9753628,182240119,7946,10616,2215,5,1
2324,IN,DLIN,DLIN2,DLIN2_c,833629,181689449,7372,10038,2112,5,2
2334,IN,DLIN,DLIN2,DLIN2_c,13654068,224228002,6797,9987,2501,5,1
2367,IN,DLIN,DLIN2,DLIN2_c,6369752,180239267,9244,9507,2176,4.5,2
2425,IN,DLIN,DLIN2,DLIN2_c,6849866,99201966,4250,12526,1329,5,2
2429,IN,DLIN,DLIN2,DLIN2_c,14027778,100791828,3110,14444,1403,4.5,2
2432,IN,DLIN,DLIN2,DLIN2_c,13477082,100792707,3124,13719,1465,4.5,1
2437,IN,DLIN,DLIN2,DLIN2_c,8090998,185354022,3372,13268,2022,5,2
2632,IN,DLIN,DLIN2,DLIN2_c,1317295,1317295,12339,3884,1949,5.5,2
2726,IN,DLIN,DLIN2,DLIN2_c,4671903,185085926,9965,13909,2855,4.5,2
2865,IN,DLIN,DLIN2,DLIN2_c,14273316,101553720,12065,14199,1250,4.5,2
2880,IN,DLIN,DLIN2,DLIN2_c,15702956,142838693,4555,13457,1573,5.5,1
3067,IN,DLIN,DLIN2,DLIN2_c,11136807,181842690,13062,9934,3085,5.5,2
3140,IN,DLIN,DLIN2,DLIN2_c,11041804,270080692,9760,12815,2996,4.5,2
3205,IN,DLIN,DLIN2,DLIN2_c,16814176,226383827,6864,11726,2879,5.5,3
3224,IN,DLIN,DLIN2,DLIN2_c,18571526,268922072,6676,11829,3247,4.5,2
3234,IN,DLIN,DLIN2,DLIN2_c,7120932,180518117,4349,8731,3201,4.5,3
3505,IN,DLIN,DLIN2,DLIN2_c,3023003,103006517,7429,2710,3247,5.5,2
3571,IN,DLIN,DLIN2,DLIN2_c,925258,179581633,9212,8549,2012,5,2
3572,IN,DLIN,DLIN2,DLIN2_c,5550089,137582476,9401,8999,1852,4.5,3
3573,IN,DLIN,DLIN2,DLIN2_c,4801623,136505123,9147,8081,1761,5,2
3689,IN,DLIN,DLIN2,DLIN2_c,8290364,141655989,431,12481,1646,5,3
93,IN,DLIN,DLIN2,DLIN2_f,1616795,45314140,3251,2962,659,4.5,3
106,IN,DLIN,DLIN2,DLIN2_f,704059,132581161,3593,4488,1542,5,2
222,IN,DLIN,DLIN2,DLIN2_f,10573492,15762363,8316,9972,1935,5,1
1188,IN,DLIN,DLIN2,DLIN2_f,15926634,185460495,6972,13474,2236,4.5,2
1977,IN,DLIN,DLIN2,DLIN2_f,18162468,85289090,8145,1170,1406,4.5,3
2022,IN,DLIN,DLIN2,DLIN2_f,12624705,90735551,7934,7196,1498,5,2
2139,IN,DLIN,DLIN2,DLIN2_f,6521941,176796049,6539,7811,3189,4.5,2
2181,IN,DLIN,DLIN2,DLIN2_f,1489180,270573056,7488,13449,3022,5,1
2314,IN,DLIN,DLIN2,DLIN2_f,7904103,182836626,9962,10911,2029,5,1
2364,IN,DLIN,DLIN2,DLIN2_f,3736046,179570456,8249,7957,2150,5,1
2414,IN,DLIN,DLIN2,DLIN2_f,5070021,50807412,7288,7189,990,4.5,2
2427,IN,DLIN,DLIN2,DLIN2_f,5809471,101342553,3966,14035,1237,5,1
2523,IN,DLIN,DLIN2,DLIN2_f,11392938,95910414,2023,9674,1479,5,3
2526,IN,DLIN,DLIN2,DLIN2_f,10773529,14052446,1762,8806,1659,5,3
2946,IN,DLIN,DLIN2,DLIN2_f,3864063,4393156,2887,3140,1839,5,3
3134,IN,DLIN,DLIN2,DLIN2_f,15690098,15690098,7193,13956,3357,6,2
3239,IN,DLIN,DLIN2,DLIN2_f,7108270,263980968,2755,7973,3102,5.5,3
3438,IN,DLIN,DLIN2,DLIN2_f,13161956,134760890,4277,6983,1749,5,2
3470,IN,DLIN,DLIN2,DLIN2_f,3863996,182603728,4991,8642,3268,5,2
3486,IN,DLIN,DLIN2,DLIN2_f,17402032,223690556,6899,9996,2923,5,3
3631,IN,DLIN,DLIN2,DLIN2_f,12938488,101377951,5722,13430,3322,5,2
658,IN,DLIN,DLIN2,DLIN2_s,9941036,11008538,9776,9556,540,5,1
1814,IN,DLIN,DLIN2,DLIN2_s,4918615,173611039,7042,3580,2193,5,1
2011,IN,DLIN,DLIN2,DLIN2_s,15680503,85687198,2159,1059,1208,5,3
2310,IN,DLIN,DLIN2,DLIN2_s,1978877,98321925,10361,10108,1868,5.5,2
2366,IN,DLIN,DLIN2,DLIN2_s,13595346,180635725,8425,9418,2110,5,2
2485,IN,DLIN,DLIN2,DLIN2_s,20198093,268852807,3736,11980,3198,5,3
2507,IN,DLIN,DLIN2,DLIN2_s,12728784,178352063,3312,7640,1981,5,2
111,IN,DLIN,DLIN3,DLIN3,4416460,130965617,3739,3161,1634,4.5,2
198,IN,DLIN,DLIN3,DLIN3,1978889,92866226,9082,6894,1517,5,2
224,IN,DLIN,DLIN3,DLIN3,8291079,141283281,6545,11534,1973,5,2
555,IN,DLIN,DLIN3,DLIN3,7203169,8279468,7328,10739,86,5,2
889,IN,DLIN,DLIN3,DLIN3,15269400,104668200,7155,16803,1323,4.5,2
892,IN,DLIN,DLIN3,DLIN3,13794505,104128858,7529,16405,1106,4.5,2
894,IN,DLIN,DLIN3,DLIN3,15925417,60479179,6615,15589,984,4.5,2
944,IN,DLIN,DLIN3,DLIN3,24626048,105920316,14163,17788,1140,4,3
979,IN,DLIN,DLIN3,DLIN3,12225652,103135127,10273,15353,1523,4.5,1
1046,IN,DLIN,DLIN3,DLIN3,13746437,61672607,10716,16528,1018,4.5,1
1084,IN,DLIN,DLIN3,DLIN3,16346216,184008968,10299,13346,2919,4.5,1
1111,IN,DLIN,DLIN3,DLIN3,11685606,188246197,11033,15418,2034,4.5,1
1117,IN,DLIN,DLIN3,DLIN3,104188966,228126754,11994,13244,2423,4.5,2
1267,IN,DLIN,DLIN3,DLIN3,75279666,194804883,9492,18428,3639,4.5,3
1462,IN,DLIN,DLIN3,DLIN3,32213207,232085764,14835,14409,3615,4,2
1496,IN,DLIN,DLIN3,DLIN3,35446797,269225703,18586,9654,3643,4,2
1591,IN,DLIN,DLIN3,DLIN3,936946,10984241,8839,9860,354,5,2
1660,IN,DLIN,DLIN3,DLIN3,761794,2940440,9950,3094,430,4,3
1661,IN,DLIN,DLIN3,DLIN3,796217,2893052,8129,2832,329,4.5,3
1774,IN,DLIN,DLIN3,DLIN3,2435552,7811639,10872,6772,602,4.5,2
2035,IN,DLIN,DLIN3,DLIN3,7083969,137512323,7109,9120,1894,5,2
2180,IN,DLIN,DLIN3,DLIN3,75687533,226945741,7149,12783,3055,4.5,1
2224,IN,DLIN,DLIN3,DLIN3,47435423,173997127,1540,2846,2731,4.5,3
2254,IN,DLIN,DLIN3,DLIN3,2810928,131470705,2235,3309,1963,4.5,3
2441,IN,DLIN,DLIN3,DLIN3,20386901,183200126,3364,11569,2097,4,2
2519,IN,DLIN,DLIN3,DLIN3,8688116,138003526,3118,10292,1754,4.5,3
2693,IN,DLIN,DLIN3,DLIN3,18080122,183962437,11749,12205,2343,5,2
2711,IN,DLIN,DLIN3,DLIN3,16628524,186594888,8930,13898,2742,4.5,2
2748,IN,DLIN,DLIN3,DLIN3,25690634,229836568,15398,14627,2578,4,2
2883,IN,DLIN,DLIN3,DLIN3,14181714,103486660,3440,15881,1495,4.5,2
2884,IN,DLIN,DLIN3,DLIN3,15643719,58171936,2508,13927,1347,4.5,3
3077,IN,DLIN,DLIN3,DLIN3,7915346,180859956,16436,7258,2876,4,2
3278,IN,DLIN,DLIN3,DLIN3,7144584,219849756,5234,5506,2891,5,1
3333,IN,DLIN,DLIN3,DLIN3,17049962,99493297,15274,12285,1513,4,3
3469,IN,DLIN,DLIN3,DLIN3,27588492,265656042,5142,9302,3163,4.5,3
3563,IN,DLIN,DLIN3,DLIN3,11382137,178482154,8217,7199,2248,4.5,1
3635,IN,DLIN,DLIN3,DLIN3,11123622,101436659,7300,14429,1139,4.5,2
3670,IN,DLIN,DLIN3,DLIN3,71860165,271568235,4551,14295,3175,4,2
362,IN,GLIN,GLIN1,GLIN1,21826294,110253015,14881,21345,1236,4,0
480,IN,GLIN,GLIN1,GLIN1,240187578,284320381,18618,24494,3211,4,1
481,IN,GLIN,GLIN1,GLIN1,241206534,283793611,18924,24169,3287,3.5,0
482,IN,GLIN,GLIN1,GLIN1,242811550,283254636,18839,23438,3260,3.5,0
483,IN,GLIN,GLIN1,GLIN1,201349213,283769073,18334,24183,3043,3.5,0
484,IN,GLIN,GLIN1,GLIN1,155052264,285421958,19363,25455,3268,4,0
613,IN,GLIN,GLIN1,GLIN1,111402255,153927135,17040,22366,1535,4,0
615,IN,GLIN,GLIN1,GLIN1,68276576,110851257,16890,21858,1443,4,0
616,IN,GLIN,GLIN1,GLIN1,26335524,110313355,17475,21377,1423,4,2
617,IN,GLIN,GLIN1,GLIN1,30070662,110862506,17630,21786,1308,4,0
620,IN,GLIN,GLIN1,GLIN1,29356328,156059933,15768,24012,1838,3.5,0
621,IN,GLIN,GLIN1,GLIN1,70946633,156047025,15481,23845,1710,4,0
622,IN,GLIN,GLIN1,GLIN1,29520255,156059145,15687,24242,1649,3.5,0
625,IN,GLIN,GLIN1,GLIN1,25642800,153306576,13641,21667,1656,3.5,1
758,IN,GLIN,GLIN1,GLIN1,18992524,63230524,8420,17815,833,4,0
759,IN,GLIN,GLIN1,GLIN1,21216755,63768965,8581,18372,830,3.5,0
760,IN,GLIN,GLIN1,GLIN1,21194671,63758181,7987,18447,816,3.5,0
761,IN,GLIN,GLIN1,GLIN1,21194615,63745120,7496,18309,759,3.5,0
851,IN,GLIN,GLIN1,GLIN1,20117874,147114012,3276,16524,1919,4.5,0
887,IN,GLIN,GLIN1,GLIN1,17950416,104084697,5199,16101,1551,4,0
897,IN,GLIN,GLIN1,GLIN1,21652081,64272897,7573,18722,951,4,0
911,IN,GLIN,GLIN1,GLIN1,18128164,18654292,13789,15691,506,4,0
1001,IN,GLIN,GLIN1,GLIN1,107760234,108299172,893,20906,1746,4,1
1004,IN,GLIN,GLIN1,GLIN1,71298651,153670661,6698,20433,2599,3.5,0
1005,IN,GLIN,GLIN1,GLIN1,65361546,237179412,7646,20650,2666,4,0
1017,IN,GLIN,GLIN1,GLIN1,62152950,277598190,8909,19064,2973,4,0
1024,IN,GLIN,GLIN1,GLIN1,21194599,105792583,8845,17982,1130,3.5,2
1030,IN,GLIN,GLIN1,GLIN1,22202100,236594181,6025,20456,2761,3.5,0
1031,IN,GLIN,GLIN1,GLIN1,27083737,237167519,7294,21088,2512,4.5,0
1032,IN,GLIN,GLIN1,GLIN1,25432239,237154856,6815,20983,2504,4,0
1033,IN,GLIN,GLIN1,GLIN1,26626482,194630749,7496,21146,2359,4,0
1053,IN,GLIN,GLIN1,GLIN1,30515561,112396353,15556,24018,1457,4,0
1154,IN,GLIN,GLIN1,GLIN1,156820597,198785042,2117,24606,2066,4,1
1156,IN,GLIN,GLIN1,GLIN1,70607766,198247021,2067,23969,2183,3.5,0
1157,IN,GLIN,GLIN1,GLIN1,24261547,198248339,1735,24290,2215,3.5,0
1160,IN,GLIN,GLIN1,GLIN1,23218989,284459055,3228,24730,2969,4,0
1161,IN,GLIN,GLIN1,GLIN1,155742112,283932771,3631,24690,3025,3.5,0
1164,IN,GLIN,GLIN1,GLIN1,108813166,153576486,3452,23094,1703,4,0
1178,IN,GLIN,GLIN1,GLIN1,106834949,148751681,4173,18162,1571,4,0
1349,IN,GLIN,GLIN1,GLIN1,26965923,242472685,4189,25401,2810,4.5,0
1350,IN,GLIN,GLIN1,GLIN1,241382998,243010696,3972,25866,2737,3.5,0
1351,IN,GLIN,GLIN1,GLIN1,199910633,243548889,4125,26204,2580,3.5,0
1352,IN,GLIN,GLIN1,GLIN1,34099632,201009157,4528,26335,2087,3.5,0
1353,IN,GLIN,GLIN1,GLIN1,31335314,158448414,4087,26187,1966,3.5,1
1355,IN,GLIN,GLIN1,GLIN1,153588029,156317467,4782,24409,1920,4,0
1362,IN,GLIN,GLIN1,GLIN1,113238730,198810550,2406,23950,2474,3.5,0
1364,IN,GLIN,GLIN1,GLIN1,151889378,194467192,1351,21092,2317,3.5,0
1365,IN,GLIN,GLIN1,GLIN1,151889412,194467071,1565,20689,2355,4,0
1366,IN,GLIN,GLIN1,GLIN1,153518808,193914727,973,20598,2242,3.5,1
1385,IN,GLIN,GLIN1,GLIN1,109961246,279671786,5686,20792,3140,3.5,0
1422,IN,GLIN,GLIN1,GLIN1,111799393,281520922,14709,22433,3071,4.5,0
1518,IN,GLIN,GLIN1,GLIN1,23816180,149432219,9810,18613,1894,4,0
1522,IN,GLIN,GLIN1,GLIN1,22248649,191466642,10590,18329,2055,4,0
1523,IN,GLIN,GLIN1,GLIN1,64845776,191992943,10189,18525,1990,4,0
1526,IN,GLIN,GLIN1,GLIN1,26181337,109141224,13360,20698,1333,3.5,0
1527,IN,GLIN,GLIN1,GLIN1,26229862,110218350,13793,21231,1277,3.5,0
1528,IN,GLIN,GLIN1,GLIN1,24613989,109703075,14298,21067,1199,4,0
1534,IN,GLIN,GLIN1,GLIN1,25678580,110254243,14858,21604,1361,4,0
1535,IN,GLIN,GLIN1,GLIN1,24004865,110781326,14350,21742,1338,3.5,0
1537,IN,GLIN,GLIN1,GLIN1,24063315,110219026,13465,21150,1471,4,0
1637,IN,GLIN,GLIN1,GLIN1,4803383,46240821,18214,3148,1084,3.5,2
1644,IN,GLIN,GLIN1,GLIN1,46275122,46275122,18515,3709,750,3.5,1
2570,IN,GLIN,GLIN1,GLIN1,4252673,5329284,18989,4461,352,3.5,1
3375,IN,GLIN,GLIN1,GLIN1,193268963,193269198,17648,19444,2050,4,1
3375,IN,GLIN,GLIN1,GLIN1,109785541,193269198,17645,19440,2059,4,1
3391,IN,GLIN,GLIN1,GLIN1,157371135,242460791,3589,25542,2812,3.5,0
3392,IN,GLIN,GLIN1,GLIN1,28054780,198810650,3143,25250,2813,3.5,0
3393,IN,GLIN,GLIN1,GLIN1,24296705,284470686,3666,25143,2937,3.5,0
